customer_id,customer_id_display,name,address_area
8895676580095,"8,895,676,580,095",Chloe Tan,Toa Payoh
8895680217343,"8,895,680,217,343",Arjun Patel,Bukit Batok
8895792447743,"8,895,792,447,743",Mei Lin Chen,Queenstown
8895815352575,"8,895,815,352,575",Omar Ibrahim,Pasir Ris
8895942394111,"8,895,942,394,111",Aditya Vijay,Ang Mo Kio
8896307003647,"8,896,307,003,647",Shwe Tin Aung,Bishan
6329694552319,"6,329,694,552,319",Marcus Tan,Tampines
8890628243711,"8,890,628,243,711",Priya Sharma,Jurong West
8882059575551,"8,882,059,575,551",Daniel Koh,Bedok
8885362819327,"8,885,362,819,327",Emily Wong,Woodlands
8887107223807,"8,887,107,223,807",Ryan Lim,Punggol
8887382606079,"8,887,382,606,079",Siti Rahman,Hougang
8890334576895,"8,890,334,576,895",James Lee,Clementi
8890466074879,"8,890,466,074,879",Nadia Hassan,Serangoon
8890573193471,"8,890,573,193,471",Kevin Ng,Yishun
8890865221887,"8,890,865,221,887",Chloe Tan,Toa Payoh
8890803716351,"8,890,803,716,351",Arjun Patel,Bukit Batok
8891012612351,"8,891,012,612,351",Mei Lin Chen,Queenstown
8891068580095,"8,891,068,580,095",Omar Ibrahim,Pasir Ris
8891095023871,"8,891,095,023,871",Aditya Vijay,Ang Mo Kio
8891214725375,"8,891,214,725,375",Shwe Tin Aung,Bishan
8891448983807,"8,891,448,983,807",Marcus Tan,Tampines
8892448571647,"8,892,448,571,647",Priya Sharma,Jurong West
8880578461951,"8,880,578,461,951",Daniel Koh,Bedok
8879008284927,"8,879,008,284,927",Emily Wong,Woodlands
8879046230271,"8,879,046,230,271",Ryan Lim,Punggol
8880478585087,"8,880,478,585,087",Siti Rahman,Hougang
8880487891199,"8,880,487,891,199",James Lee,Clementi
8880554836223,"8,880,554,836,223",Nadia Hassan,Serangoon
8879036399871,"8,879,036,399,871",Kevin Ng,Yishun
8880793944319,"8,880,793,944,319",Chloe Tan,Toa Payoh
8880816423167,"8,880,816,423,167",Arjun Patel,Bukit Batok
8881050845439,"8,881,050,845,439",Mei Lin Chen,Queenstown
8881264886015,"8,881,264,886,015",Omar Ibrahim,Pasir Ris
8881276289279,"8,881,276,289,279",Aditya Vijay,Ang Mo Kio
8881451860223,"8,881,451,860,223",Shwe Tin Aung,Bishan
7756280692991,"7,756,280,692,991",Marcus Tan,Tampines
8876829475071,"8,876,829,475,071",Priya Sharma,Jurong West
8877114851583,"8,877,114,851,583",Daniel Koh,Bedok
8836836098303,"8,836,836,098,303",Emily Wong,Woodlands
8877871202559,"8,877,871,202,559",Ryan Lim,Punggol
8878118961407,"8,878,118,961,407",Siti Rahman,Hougang
8878133903615,"8,878,133,903,615",James Lee,Clementi
8878172831999,"8,878,172,831,999",Nadia Hassan,Serangoon
8878306722047,"8,878,306,722,047",Kevin Ng,Yishun
8878629093631,"8,878,629,093,631",Chloe Tan,Toa Payoh
8878778581247,"8,878,778,581,247",Arjun Patel,Bukit Batok
8875263361279,"8,875,263,361,279",Mei Lin Chen,Queenstown
8872215806207,"8,872,215,806,207",Omar Ibrahim,Pasir Ris
8874820043007,"8,874,820,043,007",Aditya Vijay,Ang Mo Kio
8874836590847,"8,874,836,590,847",Shwe Tin Aung,Bishan
8874874798335,"8,874,874,798,335",Marcus Tan,Tampines
8875121836287,"8,875,121,836,287",Priya Sharma,Jurong West
8875201528063,"8,875,201,528,063",Daniel Koh,Bedok
8875227775231,"8,875,227,775,231",Emily Wong,Woodlands
8875393286399,"8,875,393,286,399",Ryan Lim,Punggol
8875277025535,"8,875,277,025,535",Siti Rahman,Hougang
8875316052223,"8,875,316,052,223",James Lee,Clementi
8875323588863,"8,875,323,588,863",Nadia Hassan,Serangoon
8875701960959,"8,875,701,960,959",Kevin Ng,Yishun
8875750621439,"8,875,750,621,439",Chloe Tan,Toa Payoh
8875288789247,"8,875,288,789,247",Arjun Patel,Bukit Batok
8870136643839,"8,870,136,643,839",Mei Lin Chen,Queenstown
8869025480959,"8,869,025,480,959",Omar Ibrahim,Pasir Ris
